Timestamp,V_1,V_2,V_3,V_12,V_23,V_31,I_1,I_2,I_3,P_Total,Q_Total,S_Total,E_Active,E_Reactive,PF_avg,Freq,VTHD1,VTHD2,VTHD3,ITHD1,ITHD2,ITHD3
2018-11-13 08:40:00,220.59,227.235,225.74,388.565,390.637,"[None, None, None, None, None]","[None, None, None, None, None]",50.0,2.833,1.867,1.767,13.817,53.417,24.583
2018-11-13 09:00:00,219.091,223.217,221.659,382.973,385.14,"[None, None, None, None, None]","[None, None, None, None, None]",50.001,2.933,2.156,1.844,16.022,23.9,78.667
2018-11-13 09:20:00,217.644,218.654,219.27,378.075,381.173,"[None, None, None, None, None]","[None, None, None, None, None]",50.009,2.833,2.167,1.783,28.933,27.958,97.158
2018-11-13 09:40:00,215.128,216.684,215.754,373.575,376.728,"[None, None, None, None, None]","[None, None, None, None, None]",49.979,2.891,2.309,1.927,27.809,27.945,109.527
2018-11-13 10:00:00,218.82,222.113,219.974,381.736,384.234,"[None, None, None, None, None]","[None, None, None, None, None]",50.059,2.878,2.167,1.889,27.889,31.322,93.033
2018-11-13 10:20:00,218.499,221.648,220.277,381.304,383.443,"[None, None, None, None, None]","[None, None, None, None, None]",50.05,2.964,2.273,2.018,33.491,31.8,94.909
2018-11-13 10:40:00,218.245,223.578,222.082,382.965,385.43,"[None, None, None, None, None]","[None, None, None, None, None]",50.02,3.067,2.3,2.067,22.383,28.183,87.05
2018-11-13 11:00:00,220.676,224.449,223.147,385.441,387.519,"[None, None, None, None, None]","[None, None, None, None, None]",50.059,3.11,2.47,2.08,23.72,29.23,93.47
2018-11-13 11:20:00,218.938,223.39,220.95,382.97,384.493,"[None, None, None, None, None]","[None, None, None, None, None]",49.992,3.033,2.283,2.0,38.517,30.933,103.383
2018-11-13 11:40:00,218.047,226.867,222.897,385.677,387.867,"[None, None, None, None, None]","[None, None, None, None, None]",49.98,2.9,2.133,1.9,23.467,32.1,88.933
2018-11-13 12:00:00,229.398,235.366,231.887,402.338,404.186,"[None, None, None, None, None]","[None, None, None, None, None]",50.106,2.9,1.9,1.667,11.933,5.556,0.0
2018-11-13 12:20:00,232.782,239.195,235.981,408.703,410.893,"[None, None, None, None, None]","[None, None, None, None, None]",50.11,3.07,2.07,1.74,12.65,6.3,0.0
2018-11-13 12:40:00,230.622,237.372,234.524,405.506,407.666,"[None, None, None, None, None]","[None, None, None, None, None]",50.004,3.142,2.167,1.858,13.358,6.358,0.0
